Class,Precision,Recall,F1,Accuracy,Support
0,0.9910,0.9167,0.9524,0.9166666666666666,120
1,0.8584,0.9764,0.9136,0.9763888888888889,720
2,0.8526,0.9027,0.8769,0.9026666666666666,750
3,0.8627,0.7956,0.8277,0.7955555555555556,450
4,0.6275,0.8985,0.7389,0.8984848484848484,660
5,0.7161,0.8206,0.7648,0.8206349206349206,630
6,0.9877,0.5333,0.6926,0.5333333333333333,150
7,0.8811,0.8889,0.8850,0.8888888888888888,450
8,0.9783,0.7000,0.8161,0.7,450
9,0.9532,0.7646,0.8486,0.7645833333333333,480
10,0.9598,0.9394,0.9495,0.9393939393939394,660
11,0.9881,0.9905,0.9893,0.9904761904761905,420
12,0.9806,0.8783,0.9266,0.8782608695652174,690
13,1.0000,0.9750,0.9873,0.975,720
14,0.9853,0.9963,0.9908,0.9962962962962963,270
15,0.9671,0.9810,0.9740,0.9809523809523809,210
16,1.0000,0.9533,0.9761,0.9533333333333334,150
17,1.0000,0.9806,0.9902,0.9805555555555555,360
18,0.9382,0.8949,0.9160,0.8948717948717949,390
19,0.9831,0.9667,0.9748,0.9666666666666667,60
20,0.9780,0.9889,0.9834,0.9888888888888889,90
21,0.9468,0.9889,0.9674,0.9888888888888889,90
22,0.9360,0.9750,0.9551,0.975,120
23,0.9790,0.9333,0.9556,0.9333333333333333,150
24,0.9263,0.9778,0.9514,0.9777777777777777,90
25,0.9752,0.9833,0.9793,0.9833333333333333,480
26,1.0000,0.7278,0.8424,0.7277777777777777,180
27,0.7654,0.9688,0.8552,0.96875,64
28,0.9710,0.8933,0.9306,0.8933333333333333,150
29,0.9570,0.9889,0.9727,0.9888888888888889,90
30,0.9346,0.9533,0.9439,0.9533333333333334,150
31,0.9132,0.8963,0.9047,0.8962962962962963,270
32,1.0000,1.0000,1.0000,1.0,60
33,0.9905,0.9952,0.9929,0.9952380952380953,210
34,0.9916,0.9833,0.9874,0.9833333333333333,120
35,0.9948,0.9846,0.9897,0.9846153846153847,390
36,1.0000,1.0000,1.0000,1.0,120
37,1.0000,1.0000,1.0000,1.0,60
38,0.9955,0.9623,0.9786,0.9623188405797102,690
39,0.9780,0.9889,0.9834,0.9888888888888889,90
40,1.0000,0.9444,0.9714,0.9444444444444444,90
41,0.9836,1.0000,0.9917,1.0,60
42,0.9247,0.9556,0.9399,0.9555555555555556,90
macro_avg,0.9454,0.9266,0.9318,0.9265815470714358,12694
weighted_avg,0.9229,0.9117,0.9129,0.9116905624704584,12694
